Product/Internal Reference,Product/Name,Product/Barcode,Financial Category,Available Quantity,Quantity,Lot/Serial Number,Location,Lot/Serial Number/Production Date,Lot/Serial Number/Expiration Date,Lot/Serial Number/Removal Date,Lot/Serial Number/Alert Date,Product/Breadfast Barcode
PROD-000041,Puvana Natural Water,BAR-0000000041,Centralized Fresh,7.0,7.0,LOT-0000000041,KAT/Stock/Zone (B),2025-02-24,2027-03-24,2026-10-03,2026-10-03,BREAD-0000000041
PROD-000042,A4 Paper,UNKNOWN_BARCODE,Commodities,331.0,331.0,LOT-0000000042,KAT/Stock/Zone (B),2025-04-15,2027-04-28,2026-11-13,2026-11-13,BREAD-0000000042
PROD-000043,Argento Clear Offer,UNKNOWN_BARCODE,All / Consumables / Cons - Cleaning,99.0,99.0,LOT-0000000043,KAT/Stock/Zone (F),2023-09-09,2026-08-13,2026-06-29,2026-06-29,BREAD-0000000043
PROD-000044,Puvana Natural Water,BAR-0000000044,Commodities,15.0,15.0,LOT-0000000044,KAT/Stock/Zone (A),2025-11-27,2029-01-28,2028-12-24,2028-12-24,BREAD-0000000044
PROD-000045,Argento Clear Offer,UNKNOWN_BARCODE,All / Consumables / Cons - Cleaning,153.0,153.0,LOT-0000000045,KAT/Stock/Zone (A),2023-08-16,2027-06-22,2027-03-13,2027-03-13,BREAD-0000000045
PROD-000046,Rhodes Natural Feta Gold,UNKNOWN_BARCODE,Personal Care,156.0,156.0,LOT-0000000046,KAT/Stock,2025-06-27,2028-09-30,2028-05-14,2028-05-14,BREAD-0000000046
PROD-000047,A4 Paper,UNKNOWN_BARCODE,Personal Care,92.0,92.0,LOT-0000000047,KAT/Stock/Zone (B),2023-10-12,2025-03-08,2024-10-30,2024-10-30,BREAD-0000000047
PROD-000048,Flash,UNKNOWN_BARCODE,All / ASTS / Furniture,261.0,261.0,LOT-0000000048,KAT/Stock,2024-10-10,2027-04-20,2027-01-22,2027-01-22,BREAD-0000000048
PROD-000049,Harvest Tomato Paste,UNKNOWN_BARCODE,Commodities,36.0,36.0,LOT-0000000049,KAT/Stock/Zone (F),2024-01-01,2027-11-01,2027-08-28,2027-08-28,BREAD-0000000049
PROD-000050,Elano Water Carton,BAR-0000000050,All / Consumables / Cons - Operations,160.0,160.0,LOT-0000000050,KAT/Stock,2025-12-27,2029-01-06,2028-11-04,2028-11-04,BREAD-0000000050
PROD-000051,Big Tissue Roll,UNKNOWN_BARCODE,Coffee & Other Drinks,350.0,350.0,LOT-0000000051,KAT/Stock/Zone (A),2023-07-11,2025-10-14,2025-05-08,2025-05-08,BREAD-0000000051
PROD-000052,Shanon,BAR-0000000052,Personal Care,173.0,173.0,LOT-0000000052,KAT/Stock/Zone (A),2024-10-05,2028-12-31,2028-11-19,2028-11-19,BREAD-0000000052
PROD-000053,Flash,UNKNOWN_BARCODE,Commodities,316.0,316.0,LOT-0000000053,KAT/Stock/Zone (F),2025-06-25,2029-02-25,2028-12-01,2028-12-01,BREAD-0000000053
PROD-000054,A4 Paper,BAR-0000000054,All / ASTS / Furniture,424.0,424.0,LOT-0000000054,KAT/Stock/Zone (A),2024-12-31,2027-11-25,2027-10-20,2027-10-20,BREAD-0000000054
PROD-000055,Elano Water Carton,BAR-0000000055,Water,17.0,17.0,LOT-0000000055,KAT/Stock/Zone (F),2023-01-26,2025-08-14,2025-05-18,2025-05-18,BREAD-0000000055
PROD-000056,Flash,BAR-0000000056,Personal Care,485.0,485.0,LOT-0000000056,KAT/Stock/Zone (B),2024-12-12,2026-09-03,2026-04-16,2026-04-16,BREAD-0000000056
PROD-000057,A4 Paper,BAR-0000000057,All / ASTS / Furniture,366.0,366.0,LOT-0000000057,KAT/Stock/Zone (F),2024-09-06,2027-03-06,2026-10-12,2026-10-12,BREAD-0000000057
PROD-000058,Rhodes Cheddar Cheese,BAR-0000000058,Centralized Fresh,350.0,350.0,LOT-0000000058,KAT/Stock/Zone (F),2023-07-12,2024-09-28,2024-07-10,2024-07-10,BREAD-0000000058
PROD-000059,Rhodes Cheddar Cheese,UNKNOWN_BARCODE,Centralized Fresh,15.0,15.0,LOT-0000000059,KAT/Stock/Zone (F),2024-01-16,2026-06-16,2026-05-15,2026-05-15,BREAD-0000000059
PROD-000060,Argento Clear Offer,UNKNOWN_BARCODE,All / ASTS / Furniture,359.0,359.0,LOT-0000000060,KAT/Stock/Zone (A),2025-10-22,2029-10-17,2029-07-26,2029-07-26,BREAD-0000000060
PROD-000061,Flash,BAR-0000000061,All / Consumables / Cons - Cleaning,434.0,434.0,LOT-0000000061,KAT/Stock/Zone (B),2025-12-04,2028-11-04,2028-07-04,2028-07-04,BREAD-0000000061
PROD-000062,Rhodes Cheddar Cheese,UNKNOWN_BARCODE,Water,420.0,420.0,LOT-0000000062,KAT/Stock,2025-07-27,2027-03-27,2027-01-23,2027-01-23,UNKNOWN_BREADFAST_BARCODE
PROD-000063,A4 Paper,UNKNOWN_BARCODE,All / ASTS / Furniture,269.0,269.0,LOT-0000000063,KAT/Stock/Zone (B),2023-01-03,2024-01-11,2023-11-20,2023-11-20,BREAD-0000000063
PROD-000064,Argento Clear Offer,BAR-0000000064,Personal Care,358.0,358.0,LOT-0000000064,KAT/Stock/Zone (A),2025-07-18,2029-10-10,2029-07-25,2029-07-25,BREAD-0000000064
PROD-000065,A4 Paper,BAR-0000000065,All / Consumables / Cons - Cleaning,67.0,67.0,LOT-0000000065,KAT/Stock/Zone (B),2023-10-05,2026-01-10,2025-10-18,2025-10-18,BREAD-0000000065
PROD-000066,Argento Clear Offer,UNKNOWN_BARCODE,All / ASTS / Furniture,29.0,29.0,LOT-0000000066,KAT/Stock/Zone (B),2023-06-25,2026-03-31,2026-02-13,2026-02-13,BREAD-0000000066
PROD-000067,Flash,BAR-0000000067,All / Consumables / Cons - Operations,315.0,315.0,LOT-0000000067,KAT/Stock/Zone (F),2023-10-09,2028-05-23,2028-02-05,2028-02-05,BREAD-0000000067
PROD-000068,Elano Water Carton,UNKNOWN_BARCODE,Personal Care,308.0,308.0,LOT-0000000068,KAT/Stock/Zone (F),2024-04-03,2028-12-06,2028-09-06,2028-09-06,BREAD-0000000068
PROD-000069,Harvest Tomato Paste,UNKNOWN_BARCODE,Personal Care,224.0,224.0,LOT-0000000069,KAT/Stock/Zone (A),2025-08-08,2027-04-13,2026-11-10,2026-11-10,BREAD-0000000069
PROD-000070,Puvana Natural Water,UNKNOWN_BARCODE,Centralized Fresh,163.0,163.0,LOT-0000000070,KAT/Stock/Zone (F),2023-12-07,2025-10-24,2025-07-26,2025-07-26,UNKNOWN_BREADFAST_BARCODE
PROD-000071,Elano Water Carton,BAR-0000000071,All / Consumables / Cons - Operations,413.0,413.0,LOT-0000000071,KAT/Stock/Zone (A),2024-11-27,2027-06-05,2027-03-24,2027-03-24,BREAD-0000000071
PROD-000072,Rhodes Natural Feta Gold,BAR-0000000072,All / Consumables / Cons - Operations,319.0,319.0,LOT-0000000072,KAT/Stock,2024-12-26,2029-11-16,2029-08-08,2029-08-08,BREAD-0000000072
PROD-000073,A4 Paper,BAR-0000000073,Commodities,13.0,13.0,LOT-0000000073,KAT/Stock/Zone (B),2023-05-01,2025-05-27,2024-12-24,2024-12-24,BREAD-0000000073
PROD-000074,Rhodes Natural Feta Gold,BAR-0000000074,Commodities,278.0,278.0,LOT-0000000074,KAT/Stock,2024-07-28,2028-12-30,2028-07-26,2028-07-26,BREAD-0000000074
PROD-000075,Elano Water Carton,BAR-0000000075,Personal Care,431.0,431.0,LOT-0000000075,KAT/Stock,2023-10-03,2027-04-08,2027-03-07,2027-03-07,BREAD-0000000075
PROD-000076,Argento Clear Offer,BAR-0000000076,Water,155.0,155.0,LOT-0000000076,KAT/Stock/Zone (B),2025-08-26,2028-03-16,2027-12-11,2027-12-11,BREAD-0000000076
PROD-000077,Puvana Natural Water,BAR-0000000077,Coffee & Other Drinks,121.0,121.0,LOT-0000000077,KAT/Stock/Zone (F),2025-09-13,2027-05-14,2026-12-24,2026-12-24,BREAD-0000000077
PROD-000078,Puvana Natural Water,UNKNOWN_BARCODE,Commodities,262.0,262.0,LOT-0000000078,KAT/Stock,2023-01-29,2027-01-13,2026-09-07,2026-09-07,BREAD-0000000078
PROD-000079,Shanon,BAR-0000000079,All / Consumables / Cons - Cleaning,169.0,169.0,LOT-0000000079,KAT/Stock/Zone (B),2024-11-15,2029-01-24,2028-08-12,2028-08-12,BREAD-0000000079
PROD-000080,Puvana Natural Water,BAR-0000000080,Centralized Fresh,9.0,9.0,LOT-0000000080,KAT/Stock,2023-11-17,2025-05-26,2024-12-28,2024-12-28,BREAD-0000000080
PROD-000081,Harvest Tomato Paste,BAR-0000000081,All / Consumables / Cons - Operations,451.0,451.0,LOT-0000000081,KAT/Stock,2024-10-04,2027-03-06,2026-09-15,2026-09-15,BREAD-0000000081
PROD-000082,Puvana Natural Water,BAR-0000000082,Centralized Fresh,171.0,171.0,LOT-0000000082,KAT/Stock/Zone (B),2023-12-18,2028-11-13,2028-06-04,2028-06-04,UNKNOWN_BREADFAST_BARCODE
PROD-000083,Elano Water Carton,BAR-0000000083,Personal Care,357.0,357.0,LOT-0000000083,KAT/Stock/Zone (F),2024-06-15,2028-01-30,2027-08-13,2027-08-13,BREAD-0000000083
PROD-000084,Shanon,UNKNOWN_BARCODE,All / Consumables / Cons - Cleaning,12.0,12.0,LOT-0000000084,KAT/Stock/Zone (A),2023-10-21,2028-05-10,2027-12-30,2027-12-30,UNKNOWN_BREADFAST_BARCODE
PROD-000085,Elano Water Carton,BAR-0000000085,All / ASTS / Furniture,212.0,212.0,LOT-0000000085,KAT/Stock/Zone (B),2024-04-02,2028-02-28,2027-09-12,2027-09-12,BREAD-0000000085
PROD-000086,Elano Water Carton,UNKNOWN_BARCODE,All / Consumables / Cons - Operations,160.0,160.0,LOT-0000000086,KAT/Stock/Zone (A),2025-01-16,2026-07-27,2026-04-26,2026-04-26,BREAD-0000000086
PROD-000087,Big Tissue Roll,BAR-0000000087,All / Consumables / Cons - Cleaning,231.0,231.0,LOT-0000000087,KAT/Stock/Zone (B),2025-01-02,2026-11-24,2026-06-12,2026-06-12,BREAD-0000000087
PROD-000088,Shanon,UNKNOWN_BARCODE,Coffee & Other Drinks,475.0,475.0,LOT-0000000088,KAT/Stock/Zone (B),2025-12-19,2028-04-14,2028-02-11,2028-02-11,UNKNOWN_BREADFAST_BARCODE
PROD-000089,Elano Water Carton,UNKNOWN_BARCODE,Centralized Fresh,470.0,470.0,LOT-0000000089,KAT/Stock/Zone (A),2024-06-26,2025-07-20,2025-05-30,2025-05-30,BREAD-0000000089
PROD-000090,Big Tissue Roll,UNKNOWN_BARCODE,Personal Care,159.0,159.0,LOT-0000000090,KAT/Stock/Zone (A),2024-01-15,2025-04-25,2025-02-05,2025-02-05,BREAD-0000000090
PROD-000091,Big Tissue Roll,UNKNOWN_BARCODE,All / Consumables / Cons - Cleaning,126.0,126.0,LOT-0000000091,KAT/Stock/Zone (F),2023-11-20,2026-09-12,2026-03-27,2026-03-27,BREAD-0000000091
PROD-000092,Shanon,UNKNOWN_BARCODE,All / ASTS / Furniture,47.0,47.0,LOT-0000000092,KAT/Stock/Zone (B),2025-12-21,2027-07-25,2027-01-27,2027-01-27,UNKNOWN_BREADFAST_BARCODE
PROD-000093,Rhodes Natural Feta Gold,UNKNOWN_BARCODE,Commodities,260.0,260.0,LOT-0000000093,KAT/Stock/Zone (B),2025-08-02,2028-08-12,2028-04-14,2028-04-14,UNKNOWN_BREADFAST_BARCODE
PROD-000094,Argento Clear Offer,BAR-0000000094,Commodities,60.0,60.0,LOT-0000000094,KAT/Stock/Zone (B),2025-04-22,2027-01-13,2026-09-24,2026-09-24,BREAD-0000000094
PROD-000095,Harvest Tomato Paste,BAR-0000000095,All / Consumables / Cons - Cleaning,121.0,121.0,LOT-0000000095,KAT/Stock/Zone (F),2023-12-28,2025-06-06,2025-04-19,2025-04-19,BREAD-0000000095
PROD-000096,Argento Clear Offer,BAR-0000000096,Personal Care,89.0,89.0,LOT-0000000096,KAT/Stock/Zone (A),2023-02-22,2024-12-04,2024-07-05,2024-07-05,BREAD-0000000096
PROD-000097,Puvana Natural Water,BAR-0000000097,Centralized Fresh,358.0,358.0,LOT-0000000097,KAT/Stock/Zone (B),2024-02-06,2026-12-14,2026-07-05,2026-07-05,BREAD-0000000097
PROD-000098,Harvest Tomato Paste,BAR-0000000098,All / Consumables / Cons - Operations,254.0,254.0,LOT-0000000098,KAT/Stock/Zone (A),2024-11-11,2028-04-14,2028-02-29,2028-02-29,UNKNOWN_BREADFAST_BARCODE
PROD-000099,Puvana Natural Water,BAR-0000000099,Coffee & Other Drinks,89.0,89.0,LOT-0000000099,KAT/Stock/Zone (F),2025-09-19,2027-05-23,2027-01-01,2027-01-01,BREAD-0000000099
PROD-000100,Elano Water Carton,UNKNOWN_BARCODE,Coffee & Other Drinks,2.0,2.0,LOT-0000000100,KAT/Stock,2025-05-18,2026-11-07,2026-09-20,2026-09-20,BREAD-0000000100
PROD-000101,A4 Paper,UNKNOWN_BARCODE,All / Consumables / Cons - Operations,279.0,279.0,LOT-0000000101,KAT/Stock/Zone (A),2024-12-07,2029-10-26,2029-06-11,2029-06-11,BREAD-0000000101
PROD-000102,Shanon,BAR-0000000102,Water,116.0,116.0,LOT-0000000102,KAT/Stock/Zone (F),2024-01-14,2027-11-11,2027-09-21,2027-09-21,BREAD-0000000102
PROD-000103,Harvest Tomato Paste,BAR-0000000103,Centralized Fresh,97.0,97.0,LOT-0000000103,KAT/Stock,2024-10-07,2028-04-02,2027-10-11,2027-10-11,BREAD-0000000103
PROD-000104,Harvest Tomato Paste,UNKNOWN_BARCODE,Coffee & Other Drinks,161.0,161.0,LOT-0000000104,KAT/Stock/Zone (B),2025-07-21,2029-05-03,2029-02-28,2029-02-28,BREAD-0000000104
PROD-000105,Elano Water Carton,BAR-0000000105,Water,339.0,339.0,LOT-0000000105,KAT/Stock/Zone (B),2023-03-22,2026-05-17,2026-02-04,2026-02-04,BREAD-0000000105
PROD-000106,Rhodes Natural Feta Gold,UNKNOWN_BARCODE,Water,374.0,374.0,LOT-0000000106,KAT/Stock/Zone (A),2024-12-31,2027-08-19,2027-05-27,2027-05-27,BREAD-0000000106
PROD-000107,Big Tissue Roll,BAR-0000000107,Personal Care,477.0,477.0,LOT-0000000107,KAT/Stock,2024-05-28,2027-03-20,2026-10-09,2026-10-09,BREAD-0000000107
PROD-000108,Elano Water Carton,BAR-0000000108,Personal Care,297.0,297.0,LOT-0000000108,KAT/Stock/Zone (F),2025-07-09,2030-03-14,2029-12-02,2029-12-02,BREAD-0000000108
PROD-000109,Rhodes Cheddar Cheese,BAR-0000000109,Personal Care,403.0,403.0,LOT-0000000109,KAT/Stock/Zone (B),2025-02-01,2029-03-25,2028-11-01,2028-11-01,UNKNOWN_BREADFAST_BARCODE
PROD-000110,Big Tissue Roll,UNKNOWN_BARCODE,All / ASTS / Furniture,296.0,296.0,LOT-0000000110,KAT/Stock/Zone (B),2024-05-08,2025-06-17,2025-05-08,2025-05-08,BREAD-0000000110
PROD-000111,Shanon,BAR-0000000111,Centralized Fresh,81.0,81.0,LOT-0000000111,KAT/Stock,2025-07-29,2027-06-30,2027-03-15,2027-03-15,BREAD-0000000111
PROD-000112,Big Tissue Roll,BAR-0000000112,All / Consumables / Cons - Operations,357.0,357.0,LOT-0000000112,KAT/Stock/Zone (F),2025-11-26,2027-10-17,2027-05-31,2027-05-31,BREAD-0000000112
PROD-000113,Rhodes Natural Feta Gold,BAR-0000000113,Centralized Fresh,147.0,147.0,LOT-0000000113,KAT/Stock/Zone (B),2025-01-10,2029-05-03,2029-01-10,2029-01-10,BREAD-0000000113
PROD-000114,Big Tissue Roll,BAR-0000000114,Personal Care,5.0,5.0,LOT-0000000114,KAT/Stock/Zone (B),2023-11-21,2028-05-07,2028-01-02,2028-01-02,BREAD-0000000114
PROD-000115,Shanon,UNKNOWN_BARCODE,All / ASTS / Furniture,377.0,377.0,LOT-0000000115,KAT/Stock/Zone (A),2025-12-15,2030-09-07,2030-03-30,2030-03-30,BREAD-0000000115
PROD-000116,Rhodes Natural Feta Gold,UNKNOWN_BARCODE,Centralized Fresh,184.0,184.0,LOT-0000000116,KAT/Stock/Zone (F),2023-11-10,2027-12-01,2027-06-28,2027-06-28,BREAD-0000000116
PROD-000117,Argento Clear Offer,BAR-0000000117,Centralized Fresh,425.0,425.0,LOT-0000000117,KAT/Stock/Zone (B),2023-04-13,2026-10-17,2026-06-30,2026-06-30,UNKNOWN_BREADFAST_BARCODE
PROD-000118,Harvest Tomato Paste,BAR-0000000118,Water,251.0,251.0,LOT-0000000118,KAT/Stock,2024-03-14,2029-02-20,2028-09-29,2028-09-29,BREAD-0000000118
PROD-000119,Harvest Tomato Paste,BAR-0000000119,Centralized Fresh,24.0,24.0,LOT-0000000119,KAT/Stock/Zone (B),2025-03-27,2029-03-17,2028-12-14,2028-12-14,BREAD-0000000119
PROD-000120,Puvana Natural Water,UNKNOWN_BARCODE,Water,40.0,40.0,LOT-0000000120,KAT/Stock/Zone (F),2025-01-16,2028-10-27,2028-07-23,2028-07-23,BREAD-0000000120
PROD-000121,Argento Clear Offer,UNKNOWN_BARCODE,Water,168.0,168.0,LOT-0000000121,KAT/Stock/Zone (A),2023-02-07,2026-02-08,2025-10-06,2025-10-06,BREAD-0000000121
PROD-000122,Argento Clear Offer,BAR-0000000122,All / Consumables / Cons - Cleaning,2.0,2.0,LOT-0000000122,KAT/Stock/Zone (B),2025-03-23,2027-08-24,2027-06-22,2027-06-22,BREAD-0000000122
PROD-000123,Big Tissue Roll,UNKNOWN_BARCODE,Personal Care,363.0,363.0,LOT-0000000123,KAT/Stock,2025-10-13,2030-02-26,2029-10-07,2029-10-07,BREAD-0000000123
PROD-000124,Harvest Tomato Paste,BAR-0000000124,Coffee & Other Drinks,170.0,170.0,LOT-0000000124,KAT/Stock/Zone (B),2023-06-04,2027-10-18,2027-06-22,2027-06-22,BREAD-0000000124
PROD-000125,Shanon,UNKNOWN_BARCODE,All / ASTS / Furniture,429.0,429.0,LOT-0000000125,KAT/Stock,2025-11-21,2030-09-20,2030-04-09,2030-04-09,BREAD-0000000125
PROD-000126,Flash,UNKNOWN_BARCODE,Water,56.0,56.0,LOT-0000000126,KAT/Stock/Zone (F),2024-05-03,2025-07-26,2025-06-02,2025-06-02,BREAD-0000000126
PROD-000127,Flash,UNKNOWN_BARCODE,Centralized Fresh,82.0,82.0,LOT-0000000127,KAT/Stock/Zone (A),2025-11-06,2027-05-31,2027-04-04,2027-04-04,BREAD-0000000127
PROD-000128,Rhodes Natural Feta Gold,UNKNOWN_BARCODE,Water,329.0,329.0,LOT-0000000128,KAT/Stock/Zone (F),2023-08-28,2028-05-28,2028-02-20,2028-02-20,UNKNOWN_BREADFAST_BARCODE
